Variable	Commentaire	Date de départ	Heure de départ	Valeur
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:10:29,005	VRAI
gliss_ext	Glissière externe pleine	04/06/2021	17:10:29,189	VRAI
x_ext	Pince en position glissière externe sur l’axe X.	04/06/2021	17:10:29,406	FAUX
gliss_ext	Glissière externe pleine	04/06/2021	17:10:29,681	FAUX
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:10:31,702	VRAI
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:10:31,702	FAUX
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:10:33,191	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:10:33,191	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:10:35,098	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:10:41,795	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:42,292	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:42,292	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:42,292	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:10:42,292	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:10:42,413	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:42,413	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:10:42,784	VRAI
FERMER	Fermer la pince	04/06/2021	17:10:42,784	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:42,784	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:42,784	FAUX
fermee	Pince fermée.	04/06/2021	17:10:42,907	VRAI
ouvert	Pince ouverte.	04/06/2021	17:10:42,907	FAUX
FERMER	Fermer la pince	04/06/2021	17:10:42,907	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:42,907	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:42,907	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:42,907	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:43,395	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:10:43,518	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:10:43,639	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:43,885	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:10:44,007	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:44,007	FAUX
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:10:44,007	VRAI
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:10:44,132	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:10:44,895	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:44,895	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:44,895	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:10:44,895	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:44,895	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:10:45,020	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:45,020	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:10:45,387	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:10:45,387	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:45,387	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:45,387	FAUX
fermee	Pince fermée.	04/06/2021	17:10:45,605	FAUX
ouvert	Pince ouverte.	04/06/2021	17:10:45,605	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:10:45,605	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:45,605	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:45,605	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:45,605	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:46,091	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:10:46,216	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:10:46,589	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:46,589	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:10:46,589	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:46,589	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:10:46,805	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:10:47,880	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:10:47,880	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:10:47,880	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:10:48,003	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:10:48,799	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:48,799	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:48,799	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:10:48,799	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:48,799	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:10:48,921	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:48,921	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:10:49,286	VRAI
FERMER	Fermer la pince	04/06/2021	17:10:49,286	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:49,286	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:49,286	FAUX
fermee	Pince fermée.	04/06/2021	17:10:49,407	VRAI
ouvert	Pince ouverte.	04/06/2021	17:10:49,407	FAUX
FERMER	Fermer la pince	04/06/2021	17:10:49,407	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:49,407	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:49,407	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:49,407	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:49,894	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:10:50,015	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:50,380	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:10:50,506	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:50,506	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:10:50,506	VRAI
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:10:50,696	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:10:51,709	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:10:51,709	FAUX
BLOQEXT	Sortir la butée de la glissière externe	04/06/2021	17:10:51,709	VRAI
but_ext	butée de la glisssière externe sortie	04/06/2021	17:10:51,830	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:10:51,830	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:10:52,082	FAUX
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:10:53,186	VRAI
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:10:53,311	FAUX
x_ext	Pince en position glissière externe sur l’axe X.	04/06/2021	17:10:54,690	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:10:54,690	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:54,690	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:10:54,690	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:54,690	VRAI
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:10:55,096	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:10:55,096	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:55,096	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:55,096	FAUX
fermee	Pince fermée.	04/06/2021	17:10:55,308	FAUX
ouvert	Pince ouverte.	04/06/2021	17:10:55,308	VRAI
gliss2	Présence d’un 6packs sur la butée de la glissière externe.	04/06/2021	17:10:55,308	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:10:55,308	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:55,308	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:55,308	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:55,308	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:10:55,807	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:10:55,932	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:10:56,302	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:10:56,302	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:10:56,302	FAUX
BLOQEXT	Sortir la butée de la glissière externe	04/06/2021	17:10:56,302	FAUX
but_ext	butée de la glisssière externe sortie	04/06/2021	17:10:56,422	FAUX
gliss2	Présence d’un 6packs sur la butée de la glissière externe.	04/06/2021	17:10:57,283	FAUX
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:10:57,283	VRAI
gliss_ext	Glissière externe pleine	04/06/2021	17:10:57,497	VRAI
x_ext	Pince en position glissière externe sur l’axe X.	04/06/2021	17:10:57,619	FAUX
gliss_ext	Glissière externe pleine	04/06/2021	17:10:57,984	FAUX
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:11:00,009	VRAI
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:11:00,009	FAUX
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:11:01,609	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:11:01,609	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:11:02,600	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:11:09,301	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:09,794	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:09,794	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:09,794	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:09,794	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:11:09,794	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:09,916	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:10,195	VRAI
ouvert	Pince ouverte.	04/06/2021	17:11:10,321	FAUX
FERMER	Fermer la pince	04/06/2021	17:11:10,321	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:10,321	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:10,321	FAUX
fermee	Pince fermée.	04/06/2021	17:11:10,445	VRAI
FERMER	Fermer la pince	04/06/2021	17:11:10,445	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:10,445	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:10,445	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:10,445	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:10,902	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:11,026	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:11:11,026	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:11,396	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:11,396	FAUX
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:11:11,396	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:11,396	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:11:11,518	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:11:12,291	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:12,291	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:12,291	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:11:12,291	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:12,291	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:12,412	FAUX
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:11:12,412	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:12,412	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:12,809	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:11:12,809	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:12,809	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:12,809	FAUX
fermee	Pince fermée.	04/06/2021	17:11:12,993	FAUX
ouvert	Pince ouverte.	04/06/2021	17:11:12,993	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:11:12,993	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:12,993	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:12,993	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:12,993	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:13,483	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:13,608	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:13,985	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:13,985	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:11:13,985	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:13,985	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:11:14,206	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:11:15,110	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:11:15,110	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:11:15,110	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:11:15,235	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:11:16,101	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:16,101	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:16,101	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:16,101	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:11:16,101	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:16,101	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:16,227	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:16,508	VRAI
ouvert	Pince ouverte.	04/06/2021	17:11:16,630	FAUX
FERMER	Fermer la pince	04/06/2021	17:11:16,630	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:16,630	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:16,630	FAUX
fermee	Pince fermée.	04/06/2021	17:11:16,755	VRAI
FERMER	Fermer la pince	04/06/2021	17:11:16,755	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:16,755	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:16,755	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:16,755	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:17,188	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:17,316	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:17,689	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:17,689	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:11:17,689	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:17,689	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:11:17,906	FAUX
but_ext	butée de la glisssière externe sortie	04/06/2021	17:11:18,993	VRAI
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:11:18,993	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:11:18,993	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:11:18,993	FAUX
BLOQEXT	Sortir la butée de la glissière externe	04/06/2021	17:11:18,993	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:11:19,399	FAUX
x_ext	Pince en position glissière externe sur l’axe X.	04/06/2021	17:11:21,896	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:21,896	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:21,896	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:11:21,896	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:21,896	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:22,020	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:22,020	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:22,298	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:11:22,421	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:22,421	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:22,421	FAUX
fermee	Pince fermée.	04/06/2021	17:11:22,547	FAUX
gliss2	Présence d’un 6packs sur la butée de la glissière externe.	04/06/2021	17:11:22,547	VRAI
ouvert	Pince ouverte.	04/06/2021	17:11:22,673	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:11:22,673	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:22,673	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:22,673	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:22,673	VRAI
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:23,111	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:23,111	FAUX
but_ext	butée de la glisssière externe sortie	04/06/2021	17:11:23,602	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:23,602	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:23,602	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:23,602	FAUX
BLOQEXT	Sortir la butée de la glissière externe	04/06/2021	17:11:23,602	FAUX
gliss2	Présence d’un 6packs sur la butée de la glissière externe.	04/06/2021	17:11:24,492	FAUX
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:11:24,492	VRAI
gliss_ext	Glissière externe pleine	04/06/2021	17:11:24,711	VRAI
x_ext	Pince en position glissière externe sur l’axe X.	04/06/2021	17:11:24,893	FAUX
gliss_ext	Glissière externe pleine	04/06/2021	17:11:25,206	FAUX
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:11:27,209	VRAI
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:11:27,209	FAUX
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:11:27,209	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:11:27,795	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:11:34,609	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:35,099	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:35,099	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:35,099	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:11:35,099	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:35,225	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:35,225	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:35,503	VRAI
ouvert	Pince ouverte.	04/06/2021	17:11:35,625	FAUX
FERMER	Fermer la pince	04/06/2021	17:11:35,625	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:35,625	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:35,625	FAUX
fermee	Pince fermée.	04/06/2021	17:11:35,748	VRAI
FERMER	Fermer la pince	04/06/2021	17:11:35,748	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:35,748	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:35,748	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:35,748	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:36,209	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:36,333	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:11:36,333	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:36,698	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:36,698	FAUX
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:11:36,698	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:36,698	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:11:36,817	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:11:37,590	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:37,590	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:37,590	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:11:37,590	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:37,590	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:37,713	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:37,713	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:38,081	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:38,081	FAUX
OUVRIR	Ouvrir la pince	04/06/2021	17:11:38,203	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:38,203	FAUX
fermee	Pince fermée.	04/06/2021	17:11:38,324	FAUX
ouvert	Pince ouverte.	04/06/2021	17:11:38,324	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:11:38,324	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:38,324	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:38,324	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:38,324	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:38,789	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:38,912	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:39,308	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:39,308	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:11:39,308	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:39,308	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:11:39,496	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:11:40,383	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:11:40,383	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:11:40,383	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:11:40,503	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:11:41,399	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:41,399	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:41,399	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:11:41,399	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:41,399	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:41,520	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:41,520	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:41,794	VRAI
FERMER	Fermer la pince	04/06/2021	17:11:41,916	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:41,916	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:41,916	FAUX
fermee	Pince fermée.	04/06/2021	17:11:42,006	VRAI
ouvert	Pince ouverte.	04/06/2021	17:11:42,006	FAUX
FERMER	Fermer la pince	04/06/2021	17:11:42,006	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:42,006	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:42,006	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:42,006	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:42,494	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:11:42,616	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:11:42,986	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:42,986	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:11:42,986	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:11:42,986	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:11:43,291	FAUX
but_ext	butée de la glisssière externe sortie	04/06/2021	17:11:44,300	VRAI
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:11:44,300	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:11:44,300	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:11:44,300	FAUX
BLOQEXT	Sortir la butée de la glissière externe	04/06/2021	17:11:44,300	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:11:44,698	FAUX
x_ext	Pince en position glissière externe sur l’axe X.	04/06/2021	17:11:47,185	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:11:47,185	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:11:47,185	VRAI
XGLISS	Mvt vers les glissières  (axe X)	04/06/2021	17:11:47,185	FAUX
