Variable	Commentaire	Date de départ	Heure de départ	Valeur
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:07,815	FAUX
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:05:07,815	VRAI
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:05:07,938	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:05:08,706	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:08,706	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:08,706	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:05:08,706	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:08,706	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:08,830	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:08,830	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:09,202	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:05:09,202	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:09,202	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:09,202	FAUX
fermee	Pince fermée.	04/06/2021	17:05:09,325	FAUX
ouvert	Pince ouverte.	04/06/2021	17:05:09,445	VRAI
OUVRIR	Ouvrir la pince	04/06/2021	17:05:09,445	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:09,445	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:09,445	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:09,445	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:09,908	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:10,031	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:10,402	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:10,402	FAUX
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:05:10,402	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:10,402	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:05:10,583	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:05:11,480	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:05:11,480	VRAI
YSTA	Mvt vers la station d’import/export (axe Y)	04/06/2021	17:05:11,480	FAUX
y_sta	Pince en position station import/export sur l’axe Y.	04/06/2021	17:05:11,603	FAUX
y_conv	Pince en position convoyeur central sur l’axe Y.	04/06/2021	17:05:12,491	VRAI
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:12,491	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:12,491	VRAI
YCONV	Mvt vers le convoyeur central (axe Y)	04/06/2021	17:05:12,491	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:12,491	VRAI
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:12,889	VRAI
FERMER	Fermer la pince	04/06/2021	17:05:12,889	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:12,889	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:12,889	FAUX
fermee	Pince fermée.	04/06/2021	17:05:13,013	VRAI
