Temps,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
[datetime.datetime(2021; 04; 16; 13; 43; 02; 000515)],1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1,011E+15",100000010000,45064,2064,
[datetime.datetime(2021; 04; 16; 13; 43; 02; 000516)],1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1,011E+15",100000010000,45064,2064,
[datetime.datetime(2021; 04; 16; 13; 43; 02; 000517)],1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1,011E+15",100000010000,45064,2064,
[datetime.datetime(2021; 04; 16; 13; 43; 02; 000518)],1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,011E+15",100100010000,45128,2320,
[datetime.datetime(2021; 04; 16; 13; 43; 03; 000519)],1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,01E+15",100100010000,41032,2320,
[datetime.datetime(2021; 04; 16; 13; 43; 03; 000520)],1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,01E+15",100100010000,41032,2320,
[datetime.datetime(2021; 04; 16; 13; 43; 03; 000521)],1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,01E+15",100100010000,41064,2320,
[datetime.datetime(2021; 04; 16; 13; 43; 03; 000522)],1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,01E+15",100100010000,41032,2320,
[datetime.datetime(2021; 04; 16; 13; 43; 03; 000523)],1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"1,01E+15",100100010000,41032,2320,
[datetime.datetime(2021; 04; 16; 13; 43; 03; 000524)],1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1010000001010001,100100000100,41041,2308,
