Temps,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
[datetime.datetime(2021; 04; 16; 13; 42; 16; 090000)],0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110001001001,1000000010000,3145,4112,
[datetime.datetime(2021; 04; 16; 13; 42; 17; 010000)],0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110001001001,1000000010000,3145,4112,
[datetime.datetime(2021; 04; 16; 13; 42; 17; 020000)],0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110001001001,1000000010000,3145,4112,
[datetime.datetime(2021; 04; 16; 13; 42; 17; 030000)],0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100110001001001,1001000010000,19529,4624,
[datetime.datetime(2021; 04; 16; 13; 42; 17; 040000)],0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100010001001001,1001000010000,17481,4624,
[datetime.datetime(2021; 04; 16; 13; 42; 17; 050000)],0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100010001001001,1001000010000,17481,4624,
[datetime.datetime(2021; 04; 16; 13; 42; 17; 060000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100010001101001,1001000010000,17513,4624,
[datetime.datetime(2021; 04; 16; 13; 42; 17; 070000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100010001101001,1001000010000,17513,4624,
[datetime.datetime(2021; 04; 16; 13; 42; 17; 080000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100010001101001,1001000010000,17513,4624,
[datetime.datetime(2021; 04; 16; 13; 42; 17; 090000)],0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,100010001111000,1001000000011,17528,4611,
