Temps,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
[datetime.datetime(2021; 04; 16; 12; 04; 27; 000046)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 27; 000047)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 27; 000048)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 28; 000049)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 28; 000050)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 28; 000051)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 28; 000052)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 28; 000053)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 28; 000054)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 28; 000055)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 28; 000056)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 28; 000057)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 29; 000058)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 29; 000059)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 29; 000060)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 29; 000061)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 29; 000062)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 05; 22; 000063)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 22; 000064)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 22; 000065)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 22; 000066)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000067)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000068)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000069)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000070)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000071)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000072)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000073)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000074)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 23; 000075)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 24; 000076)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 24; 000077)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 24; 000078)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
[datetime.datetime(2021; 04; 16; 12; 05; 24; 000079)],1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1000010001000001,100000000,33857,256
