cas seul et NCT collage à 0 de A1B2,-1,-1,1,2,-1,1,2,1,8,1000009,1,8,0,5,1000005,0,5,0,8,5
cas seul collage à 1 de P2E,-1,-1,1,0,-1,1,0,1,2,3,1,2,1,8,1000009,1,8,0,8,1000010
cas seul collage à 1 de S1_P1VP2,-1,-1,1,0,-1,1,0,1,2,3,1,2,1,8,1000009,1,8,0,5,1000005
cas seul collage à 0 de S1_P1VP2,-1,-1,1,0,-1,1,0,1,2,3,1,2,0,5,2000014,0,5,0,8,5
cas seul collage à 1 de P1VP2,-1,-1,1,0,-1,1,0,1,2,2,1,2,1,3,1000011,1,3,1,9,1000007
cas seul collage à 0 de P1S,-1,-1,1,0,-1,1,0,0,3,1000012,0,3,1,3,1,1,3,1,9,1000007
cas seul et NCT collage à 0 de A1B2,-1,-1,1,2,-1,1,2,0,3,1000010,0,3,1,3,1,1,3,1,9,1000007
cas seul collage à 0 de P1VP2,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000010,0,3,1,9,1000008
cas seul collage à 0 de S1_P1VP4,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000010,0,3,1,3,1
cas seul collage à 1 de P4E,-1,-1,1,1,-1,1,1,1,2,2,1,1,0,9,2,1,2,0,4,1000011,0,9,0,4,1000011,0,4,1,4,1
cas seul et NCT collage à 0 de A1B4,-1,-1,1,2,-1,-1,-1,0,9,-1,1,2,0,4,1000011,0,9,0,4,1000011,0,4,1,4,1,1,4,0,6,1000006
cas seul collage à 1 de P1VP4,-1,-1,1,1,-1,1,1,1,2,2,1,1,0,9,2,0,9,1,4,1000012,1,2,1,4,1000012,1,4,0,6,1000006
cas seul collage à 0 de P1VP4,-1,-1,1,1,-1,1,1,1,2,2,1,1,0,9,2,1,2,0,4,1000011,0,9,0,4,1000011,0,4,0,6,1000007,0,4,0,6,1000007
cas plusieurs collage à 1 de S1_P1VP4,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1,1,4,0,6,1000006
cas plusieurs collage à 0 de P1S,-1,-1,1,1,-1,1,1,0,9,2,0,9,0,4,1000011,0,4,1,4,1,1,4,0,6,1000006
cas seul collage à 0 de S1_P2E,-1,-1,1,1,-1,1,1,1,2,1,1,2,0,4,1000011,0,4,1,4,1000001
cas seul et NCT collage à 0 de A1B4,-1,-1,1,2,-1,1,2,0,4,1000011,0,4,1,4,1000001,1,4,1,10,1000011
cas seul collage à 0 de P1S,-1,-1,1,1,-1,1,1,0,4,1000012,0,4,1,4,1000001,1,4,1,10,1000011
cas seul collage à 1 de P1VP4,-1,-1,1,1,-1,1,1,1,2,1,1,2,1,4,2000012,1,4,1,10,1000011
cas seul collage à 0 de P1VP4,-1,-1,1,1,-1,1,1,1,2,1,1,2,0,4,1000011,0,4,1,10,2000012
cas seul collage à 1 de P4E,-1,-1,1,1,-1,1,1,1,2,3,1,2,0,10,1000003,0,10,0,4,8,0,4,1,4,1
cas seul et NCT collage à 0 de A1B4,-1,-1,1,2,-1,1,2,0,10,1000003,0,10,0,4,8,0,4,1,4,1,1,4,0,6,1000006
cas seul collage à 1 de S1_P2E,-1,-1,1,1,-1,1,1,1,2,3,1,2,0,4,1000011,0,4,1,4,1,1,4,0,6,1000006
cas seul collage à 0 de P1S,-1,-1,1,1,-1,1,1,0,10,1000006,0,10,0,4,8,0,4,1,4,1,1,4,0,6,1000006
cas seul collage à 1 de P1VP4,-1,-1,1,1,-1,1,1,1,2,3,1,2,0,10,1000003,0,10,1,4,9,1,4,0,6,1000006
cas seul collage à 0 de P1VP4,-1,-1,1,1,-1,1,1,1,2,3,1,2,0,10,1000003,0,10,0,4,8,0,4,0,6,1000007
cas seul et NCT collage à 0 de A1B4,-1,-1,1,2,-1,1,2,0,4,1000011,0,4,1,4,1,1,4,1,11,1000010,1,11,0,11,2
cas seul collage à 0 de P1S,-1,-1,1,1,-1,1,1,0,4,1000013,0,4,1,4,1,1,4,1,11,1000010,1,11,0,11,2
cas seul collage à 1 de P1VP4,-1,-1,1,1,-1,1,1,1,2,2,1,2,1,4,1000012,1,4,1,11,1000010,1,11,0,11,2
cas seul collage à 0 de P1VP4,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,11,1000011,1,11,0,11,2
cas seul collage à 1 de S1_P4E,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1,1,4,1,11,1000010
cas seul collage à 0 de S1_P4E,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1,1,4,0,11,1000012
cas seul collage à 1 de P1VP2,-1,-1,1,0,-1,1,0,1,2,2,1,2,1,3,1000009,1,3,0,5,5
cas seul collage à 0 de P1S,-1,-1,1,0,-1,1,0,0,3,1000010,0,3,1,3,1,1,3,0,5,5
cas seul et NCT collage à 0 de A1B2,-1,-1,1,2,-1,1,2,0,3,1000008,0,3,1,3,1,1,3,0,5,5
cas seul collage à 1 de P2E,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000008,0,3,1,3,1
cas seul collage à 0 de P1VP2,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000008,0,3,0,5,6
cas seul collage à 1 de P1VP2,-1,-1,1,0,-1,1,0,1,2,1,1,2,1,3,2000011,1,3,0,5,6
cas seul collage à 0 de P1S,-1,-1,1,0,-1,1,0,0,3,1000011,0,3,1,3,1000001,1,3,0,5,6
cas seul et NCT collage à 0 de A1B2,-1,-1,1,2,-1,1,2,0,3,1000010,0,3,1,3,1000001,1,3,0,5,6
cas seul collage à 1 de P2E,-1,-1,1,0,-1,1,0,1,2,1,1,2,0,3,1000010,0,3,1,3,1000001
cas seul collage à 0 de P1VP2,-1,-1,1,0,-1,1,0,1,2,1,1,2,0,3,1000010,0,3,0,5,1000007
cas seul collage à 1 de P1VP2,-1,-1,1,0,-1,1,0,1,2,3,1,2,1,3,1000009,1,3,0,5,1000005
cas seul collage à 0 de P1S,-1,-1,1,0,-1,1,0,0,3,1000011,0,3,1,3,1,1,3,0,5,1000005
cas seul et NCT collage à 0 de A1B2,-1,-1,1,2,-1,1,2,0,3,1000008,0,3,1,3,1,1,3,0,5,1000005
cas seul collage à 1 de P2E,-1,-1,1,0,-1,1,0,1,2,3,1,2,0,3,1000008,0,3,1,3,1
cas seul collage à 0 de P1VP2,-1,-1,1,0,-1,1,0,1,2,3,1,2,0,3,1000008,0,3,0,5,1000006
cas seul collage à 1 de P1VP2,-1,-1,1,0,-1,1,0,1,2,2,1,2,1,3,1000011,1,3,0,5,1000005
cas seul collage à 0 de P1S,-1,-1,1,0,-1,1,0,0,3,1000012,0,3,1,3,1,1,3,0,5,1000005
cas seul et NCT collage à 0 de A1B2,-1,-1,1,2,-1,1,2,0,3,1000010,0,3,1,3,1,1,3,0,5,1000005
cas seul collage à 1 de P2E,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000010,0,3,1,3,1
cas seul collage à 0 de P1VP2,-1,-1,1,0,-1,1,0,1,2,2,1,2,0,3,1000010,0,3,0,5,1000006
cas seul collage à 1 de P4E,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,1,4,1
cas seul et NCT collage à 0 de A1B4,-1,-1,1,2,-1,1,2,0,4,1000011,0,4,1,4,1,1,4,0,6,1000006
cas seul collage à 0 de P1S,-1,-1,1,1,-1,1,1,0,4,1000013,0,4,1,4,1,1,4,0,6,1000006
cas seul collage à 1 de P1VP4,-1,-1,1,1,-1,1,1,1,2,2,1,2,1,4,1000012,1,4,0,6,1000006
cas seul collage à 0 de P1VP4,-1,-1,1,1,-1,1,1,1,2,2,1,2,0,4,1000011,0,4,0,6,1000007
cas seul collage à 1 de P4E,-1,-1,1,1,-1,1,1,1,2,1,1,2,0,4,2000011,0,4,1,4,1
cas seul et NCT collage à 0 de A1B4,-1,-1,1,2,-1,1,2,0,4,2000011,0,4,1,4,1,1,4,0,6,1000008
cas seul collage à 0 de P1S,-1,-1,1,1,-1,1,1,0,4,2000012,0,4,1,4,1,1,4,0,6,1000008
cas seul collage à 1 de P1VP4,-1,-1,1,1,-1,1,1,1,2,1,1,2,1,4,2000012,1,4,0,6,1000008
cas seul collage à 0 de P1VP4,-1,-1,1,1,-1,1,1,1,2,1,1,2,0,4,2000011,0,4,0,6,1000009
cas seul collage à 1 de P4E,-1,-1,1,1,-1,1,1,1,2,3,1,2,0,4,2000011,0,4,1,4,1
cas seul et NCT collage à 0 de A1B4,-1,-1,1,2,-1,1,2,0,4,2000011,0,4,1,4,1,1,4,0,6,6
